wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
jarbaat,n,"niece, nephew",Ammaguma jarbaat,I have not yet gotten a niece
jargon,n,spider,Lii nuru na jargon,This looks like a spider
jas,n,to cutdown,Jas na taati garab yi ci aala bi yep,He has cut down all the trees in the bush
jasit/jësit,n,crocodile,jasit munut xeex ci kow suuf,a crocodile cannot fight on the ground
jat,n,"calm, hypnotize, pacify, Activity is ver common in the wolof culture.",Waa jangi doon jat zimba bi,The guy was hypnotising the masquarade
jataay/jotaay,n,"gathering, assembly",Deñu dee jotaay dimaas ju nekka,We gather every Sunday
jatkat,n,hypnotizer,Kii jatkati gaynde la,This person is a lion hypnotizer
jax,va,"to be be plentiful, in abundance",Dundu gi ñu jax deñca na,The food we have in store is in abundance
jaxaay,n,eagle,Leeg-leg nga gis jaxaay bu rafet,From time to time you see beautiful eagles
jaxas,v,to to mix,Looy jaxas ci bool bi,What ate you mixing in the bowl
jaxase,v,"to mix together, jumble up","Kaay, ñu jaxase wonjo bi ak sukurbi",Come let us mix the sorrel juice and the sugar
jaxasekat,n,"traouble shooter, hypocrite",Jaxasekat bi magla,He is a big trouble shooter
jaxasoo,va,"to be be tangled, involved with someone, be inextricable, closed to someone",Dama jaxasoo ci mbir mi torop,I am too involved in the affair
jaxasu,va,to be be already mixed,Xoy bi jaxasu na,The mixture/sough is already mixed
jaxat,n,squirrel,Jaxat dafa gaaw,A squirrel is very quick
jaxatu,n,bitter tomatoes,Dumay lekka jaxatu,I don't eat bitter tomatoes
jeebaanu,n,spied,,
jeebaanukat,n,spy,,
jeebalu,n,put oneself under a spirl,Jeebalu leen ci yaala,Give your self up to God
jeebanu,n,spy,,
jeeg,n,"young woman, lady",Yow jieg nga.,You are a lady.
jeeg,va,"to be unable to make a sacrifice, at tobaski",Maalik dafa jeeg.,Malick was unable to make a sacrifice at tobaski.
jeeki,v,"to relax, sit in one place, be still",Mungee jeeki ci pilijaan.,He is relaxing on the hammock.
jeex,va,"to be finish, exhaust, be ready",Leeka yi jeex neñu.,The food is finished.
Jeébale,v,to handover a wife,Démba leñu ko jeebale jaberam.,His wife was handed over to him yesterday.
jeégi,v,"to walk, step over, foot print, pace",jeégi na pax bi.,He stepped over the hole.
jeéku,va,"to be in a better position, accomplish a task, be well-off",Saawaay leegi dafa jeéku.,The guy is well-up now.
jeém,va,"to be try, make an effort",Mungee jeém ndanka ndanka.,He is trying gradually.
jeéri,v,"to cool off(sth especially d, cool off (something espe, liquid food)",Ataayakat bange jeeri ataaya bi.,The ataya man is cooling the ataya.
jege,va,"to be near, be close, its about time","Jege ma, suma xol.",Be close to me my heart.
jegen,va,"to be close, its about time, be near",Moto bi dafa ko jegeň torop.,The car is very near to him.
jéeg,adj,already,Ligeey na be jéegal.,I have worked already.
jéela,n,crossed eyed,Dafa am bot yu jéela.,She has crossed eyes.
jéneer,op,a shaft of light comming through a crack,Ndax yangee gis jenéer bi.,Are you seeing the shaft of light comming through shaft.
jéréjëf,n,"thanks, thank you",Woxal ma ko jéréjëf.,Tell him thank you for me.
jë,n,forehead,"Laaalal jeyam bi, dafa tanga.","Touch his forehead, it is hot."
jëf,n,"a dead, an act",Lii jëf gu bon la.,This is a bad act.
jëflante,n,reciprocal relationship,Nit ñi deñu war di jëflante.,The people should be reciprocal relationship.
jëkër/jëkar,n,husband,Suma jëkar rek laa nob.,I love only my husband.
jëkka,va,to be first,Moo jëkka eksi.,He was the first to arrive.
jël,v,to take,Jël na ko.,He took it.
jëli,v,to go and collect,Xale yi laa jeli woon.,I went to colloct the children.
jëlkat,n,a thief,"ndekeet yow, jëlkat nga.",On the whole you are a thief.
jëlsi,v,to come and take,Jëlsi si na reeram bi.,He came to take his dinner.
jëmbat,v,"to transplant, plant",Nungi wara jëmbat juroomi garab.,They should plant five trees.
jëmma/jomma,n,"commanding appearance, status, presence, height",Danga wara xalaat sa jëmma gi.,You should think of your status.
jën,n,fish,Am ñu dut lekka jën.,There are some people who don't eat fish.
jënda,v,to buy,Jënda na linia soxla yep.,He bought all the things that I need.
jënga,v,"to tie an asnimal's two legs, to tie",Dinaa ko jënga bubax.,I will tie it well.
jëngu,v,"to brace a problem, risk, give up",Dinaa jëngu ma def ko.,I will risk it and do it.
jërin,n,importance,Loolu amaluma jerin.,It not important to me.
ji,da,"the, sow, sown, (proximity)",Jigeen ji eksi na.,The woman has arrived.
jib,v,"to happen, make a sound, echo",Sa baat bangee jib.,You voice is echoing.
jiba,n,pocket,Nawal ko naan jiba.,Sew two pockets for him.
jig,va,"to benefit, be lucky",Nanga jigut la.,To be fierce doesn't benefit you.
jigéen,n,woman,Goór yee oppa jigéen ñi.,The men are more than the women.
jii,dem,this,Waa jii ku noppi la.,This guy is a quiet person.
jii,v,"to decend, climb down, ejaculate, decline",,
jiin,v,to accuse someone of somethg,Deñu ko jiiñs sacca.,They accused him of stealing.
jiit,n,scorpion,"Bu la jiit maatee, beneen yoón dinga sol daala.","If a scorpion bites you, you will put on shoes next time."
jiital,n,underwear,Dama jiital.,I have an underwear on.
jiital,v,"to put infront, choose a leader",Man leñu jiital.,They chose me to be the leader.
jiité,v,"to take charge, to direct, to govern, to lead",Doo jiité waat ci jaaka ji.,You will not lead the prayer again.
jiitu,v,"to proceed, to go ahead, to arise","Jiitu ñu, dineñu now ci kanam.","go ahead of us, we will come later."
jikko,n,"habit, character",Bugguma sa jikka ji.,I don't like your habit.
jine,n,"jinn, spirit",ñeena ñi gom neñu ci jinné.,Some people belief in jinn/spirit.
jinjar,n,"ginger beer, gingerale",Gej neñoo dafar ginjar.,We have longed to make ginger beer.
jinkoo,v,"to doze, slumber",Jinkoo genaa neex nelew.,To doze is nicer than to sleep.
jinkoo,vn,"slumbering, dozing",,
jis,n,name of a fish,"Soo demee marse, nga jendal ma jis.","If you go to the market, you buy me a fish."
jiwu,n,seed,,
jóg,v,"to arise, get up",Jóg leen fecca.,You get up and dance.
jóggee,v,to come from,Baddibu laa joggeé.,I came from Baddibu.
joggi,v,"to move one's foot about, to stamp",Baajil linga joggi so tanko bi.,Stop how you are stamping you foot about.
Jolof,n,village in Senegal,Moom waa jolof la.,He is citizen of Jolof.
Jolof-jolof,n,"wolof, tribe in Senegal",Am na jolof-jolof yu nekka ci rew mi.,There are some wolof in the country.
jolu,v,to drink from the a bottle,"Yow, danga taama jolu.",You are used to drinking from a bottle.
jolu,int,"how much, how many, see ""jelu""",,
jom,n,"self esteen, self honour",Nit dafa wara am jom.,a person should be self honoured.
jomlu,va,"to be allergic, be ashamed of",Lii dama loo jamlu.,I am ashamed of this.
jommi,va,"to be bewitched, be under a spell",Jommi naa te gisuma jine(expression),I am under a spell and haven't see a jinn.
jonga,v,to circumcise,Nguur gi dafa bugga geenee jonga jigeen.,The government wants to eradicate female circumcise.
jonkon,n,squat,,
jonkon,v,to squat,Munuma jonkon.,I cannot squat.
joogare,n,hump,Ak sa joogere bu rey bi.,With your big hump.
jooka,v,to knuckle,Dama rexa ci jooka.,I have a sprain in my ankle.
Joolaa,n,"Jola tribe, payer, paymaster",Joolaa yi Kaasamaas leñu joggeé.,The Jolas are originated from Cassamance.
joomal,v,"to frighten, hook wink",Munuloo maa joomal.,You cannot frighten me.
joow,v,"to backbite, to gossip",Joow laa genaa bañ ci suma aaduna.,gossiping the worst thing I hate in my life.
joowar,n,shout at someone,,
jooy,v,to cry,Amuloo looy jooy.,You have nothing to cry about.
jot,n,reach,,
jot,v,"to get, ro receive, opportunity, have time",Jot naa bataaxel bi.,I received the message.
jotali,v,"heard over, pass on to someone",Jotali ma daba bi.,Hand the hoe over to me.
jotee,va,inconflict with someoe,Nungi jotee ñaari weer ci ganaaw.,They were in conflict two months ago.
jox,v,"to give, to hand",Jox ma jiwu kanja yi.,give me the Okra seeds.
joxe,v,"to give to, to hand to",Ci marse bi leñu doon joxee ndawal mi.,They were giving out the meat at the market.
joxon,v,to point,Loo maay joxoñee.,Why are you pointing at me?
jub,va,to be straight,Dafa wara jub.,It should be straight.
jub,n,straighten,,
juba,n,"at the tip, at the opex.",Dafz eeg be ci juba gi.,He climbed to the top.
jubadi,va,to be in straight forward,Yow nit ku jubadi nga.,You are not a straight forward person.
jubal,n,straighten,,
jubal,v,"to go straight, to straighten","Bul laaxa fen, jubal rek.","Do not turn anywhere, just go straight."
jublu,va,"to be opposite, face, head for",Bitiki bangi jublu ak essenseer bi.,The shop is opposite with the Gas station.
juboo,va,to be in harmonious relatiop,,
judoo,va,to be born at,Mangi juddog ci kow gi.,I was born in the provinces.
judu,v,to be born,Borka demba la judda.,He was born day before yesterday.
jula,n,"trader, person's name",Papaam jula la ci marse bi.,Her father is a trader in the market.
juli,n,pray,"Woxtu juli jot, jogleen juli.","It is time for prayer, you (pl) get up and pray."
julit,n,a muslim,"Du julit, gurmet la.","She is not a muslim, she is a christian."
jumaa,int,"which, who",,
jumaa,n,mosque,Jumaa ji sampa neñu bemu pare.,The mosque is built and its finished.
jumbax,n,"navel, belly button",Dafa am jumbax ju rey.,He has a big belly button.
jumbuj,n,swollen eyelid,Dafa jumbuj.,He has a swollen eyelid.
juné,n,a thousand,Mangi wara jël juné derem.,I should take thousand dalasis.
jun-jun,n,"large drum, (tom-tom) especially used by AFricans beaten with hands,",Teggal jun-jun yi.,Beat the tom-toms.
jur,n,cattle,Waa ju am jur la.,He has many cattle.
jur,v,"to deliver, give birth, create",Xar bi jur na ñaari doóm.,The sheep delivered two lambs.
juroóm,n,five,Tey la am juromi fan.,I have five days today.
juum,v,"to make a mistake, mistaken",Juum naa ci woxtaan gi.,I made a mistake in the discussion.
juumé,va,to be mistaken,Deñu ko juumé.,We have mistaken him.
juutal,v,"to upside down, cause to bend",Yangee juutal teéré bi.,You are turning the book upside down.
juutu,v,"to bend down with butt up, upside down, over bend",Kayit gi juutu na.,The paper is upside down.
juuwé/juwé,v,to mislead,Bul juuwé xale bi.,Do not mislead the child.
juux,va,"to be a fluke, stop by, be unfrequent",Dafa fi juux tey.,He stopped by here today.
ka,postp,to,,
ka,adv,"habitual, marker, progressive marker",,
ka,dem,"the, Remote",Nit ka ñibi na.,The people has gone home.
kaaba,n,"holy place in Mecca, man's name, holy mosque in mecca",Kaaba bangi Mecca.,The kaaba is in Mecca.
kaacciri,n,"whip, whipcord",Abel ma sa kacciri bi.,Loan me your whip.
kaaci,n,"lie, Tell a lie with out fear.",Kaaci nga.,You lied.
kaacikat,n,liar,Kaacikat bu mag la.,He is a big liar.
kaadar,n,frame,Dama bugga kaadar suma nataal bi.,I want to frame my picture.
kaadu,n,"speech, saying, word",Wox nga fi kaadu yu baax.,You've delivered a very good speech.
kaaf,n,cage,Caku bangi ci kaaf gi.,The parot is in the cage.
kaala,n,"scarf, turbin",Amuma kaala bu rafet pur juli.,I don't have a nice scarf for praying.
kaamiil,n,the holy Quran,Janga na kaamiil bi be jeexal ko.,I studied the Holy Quran and finished it.
kaamiir,va,to be complete,Wox ji ňu wara kaamiir la.,It is a discussion that should be completed.
kaana,n,"a dislitted palm wine, Locally made with sugar.",Biiña gena foor kaana.,Gin is stronger than the dislitted palm-wine.
kaas,n,moisten,,
kabaa,n,"sour sap(local), wild vine fruit plant",Kabaa juus am na ci bink yi.,Sour sap drink is available in the ships.
kabaab,n,temple,Suma kabaab baay meeti.,My temple is hurting me.
kabbar,v,to begin a muslim prayer,Kabbar na.,He has started his prayer.
kabinet,n,bed room,Ken duy dugga ci suma kabinet bi.,No body enters my bedroom.
kaccari,v,"to beat, lash",Yaayam moo ko kaccari.,Her mom beats her.
kacco-kacco,n,weaver bird,Kacca-kacco yeé dee lekka duggub yi suñu ñoreé.,The weaver birds eat the millet when they are ripe.
kacco-kacco,va,to be loquacious,Yow kacco-kacco nga.,You talk alot.
kadda,n,"a tree, Fruits fed the cattle (Acacia)",Deñu wara ji taati kadda yu bari pur nag yi.,We should plant many Acacia rees for the cows.
kadda,va,"to be stiff, be rigid",Lii dafa kadda.,This is stiff.
kaf,n,"a joke, kidding",Danga kaf.,You are kidding.
kaf,v,"to joke, kid",Neena ñi munuñu kaf.,Some people cannot joke.
kafe,n,coffee,Kafe rek la dee naan.,He usually drinks only cofee.
kafkat,n,a joker,Kii dafa bugga nekka kafkat.,The person wants to be a joker.
kaggu,n,"library, book case(enclosed)",Deñu defaraat kaggu gi.,We are renovating the library.
kaja,v,"to cut down, to steal",Dafa doon kaja xaalis bi ñu téye ko.,Hekaju
kaju,va,to be in a corner,Mungi nobbu ci kaju gi.,She is hiding in the corner.
kak,inten,very,Loolu dëgër na kak.,That thing is very strong.
kak,n,sound made by a breaking-,Mbanxaasbi doon daamu damu dama deega kak bi.,When the branch was falling I heard the breaking sound.
kal,n,"a hole (in a ship), inter-tribal relationship",Seereer ak pol kal leñu.,Sereers and fulas have inter-tribal relationship.
kal,v,"to prevent, block, defend",Dama kal yoón bi.,I blocked the way.
kalaame,v,to file a complaint,Dineñu ko kalaame ci polis bi.,We will file a complaint at the police.
kalaas,n,class,Xale yangee woy ci kalaas bi.,The children are singing in the class.
kalaase,v,"to class, to rate",Neñu ko kalaase ci yu bon yi.,Let us race it the bad ones.
kalaate,v,"to be wrecked, a deal /affair been spoiled",Mbir mi kalaate na.,The deal is spoiled.
kal-kali,va,to be loose,Munge kal-kali ndig rus.,She is shaking because of the shame.
kalkil,v,to calculate,Meer bangee kalkil limu wara def tey yep.,The old woman is calculating what she should do today.
kalle,va,"to be stocked, blocked",mangi kalle bunta bi ak xeer.,I blocked the door with a stone.
kallentaan,inten,"a little, a tiny bit",Mey ma tuuti kaalentaan.,Give me a tiny bit.
kalpe,n,"purse, a purse, wallet",Sa kalpe bi la tafu.,He pickpocketed your wallet.
kama,n,toilet,Dama dem ci kama bi,She went ot the toilet.
kamaj,v,"to put out, extinguish, switch off",Deñu kamaj lampa yi.,They switched off the lights.
kamba,n,"hollow, hole in the ground, pit, a ditch",Jaan ci kamba la dee nekka.,A snake is usually in a ditch.
kamba,n,a ditch,Jaan si kambe la dee nekka.,A snake is usualy in a ditch.
kamisool,n,"robe, women's jacket",Kamisool la ñawlu.,She made a robe.
kamp,n,the two cows farmers use for plowing,Du beykat yi yep a am kamp.,Not all the farmers have oxen.
kan?,int,"who, whom",Nga kan la?,You said is who?
kanaara,n,"duck, goose",Kanaara yoombura tooga.,Duck is not easily cooked.
kanam,prep,"face, infront, front, later",Dina ko seeti ci kanam.,I will visit her later.
kanasu,va,to be crazy,Yow danga kanasu.,You are crazy.
kandaama,n,gourd,Jamkati sënga yi kandaama leñu dee eager.,The palm wine tappers climb with gourds.
kanja,n,okra,Nama neñu supa kanja.,We missed okra soup.
kankuran,n,mandinka masquerade,Nemeñuma kankuran.,I am scared of mandinka masquerades.
kañ,inten,when,kañ la gan yi di egsi.,When will the guest arrive?
kaña,n,"rat, Guinea-pig",Lii kaña la.,This is a rat.
kañaan,va,to be jealous,Kañaan baaxut.,Jealousy is bad.
kar-kari,v,to tremble,Dafa liw moo tax muy kari-kari.,She is cold thats why she is shaking.
karnaat,n,pad lock,Ken munuta ubi karnaat bi.,No one can open the pad lock.
karne,n,note book,Dafa reeral karne magam bi.,He lost his brother's note book.
karo,n,tiles,Karo yu raet la def ci neégam bi.,She puts very nice tiles in her house.
karot,n,carrot,,
karto,n,playing cards,Moo gañe karte bi.,He won the card game.
kasaara,v,"to destroy, spoil",,
kasaara,va,"to be spilled beyond repair, go in vain",alelam gi dem na ci kasaara.,His property went in vain.
kasag,n,"songs, Circumcision camp songs",Njuli yangee kasag.,The circumcized people are singing song.
kasiloor,n,A light cooking pan with a handle.,Ci kasiloor bi la dom tooga pepe-sup.,She was cooking pepper soups in the light pan.
kaso,n,prison,Suñu kaso bangi ci yoóni banjul bi.,Our prison is on the Banjul high way.
kaso,v,"to jail, to prison",Deñu ko wara kaso.,He should be prisoned.
kasu,n,cashew,"Su meeni kasu taxe ci sa yee, du geena.","If cashew sap stains on your clothes, it will not come out."
kata,v,"to have a sexual intercoure, effort, move, transfer",Kii laa soxla kata.,I need to have sexual intercourse with the person.
kataa,va,"to be evil, be troublesome",Danga bari kataa.,You are very trouble some.
kataa,n,"trouble, misfortune",,
